,ACB,BCM,BHN,BID,BVH,CTG,DXG,EIB,FPT,GAS,GEX,GVR,HCM,HDB,HPG,HSG,HVN,KBC,KDC,KDH,LPB,MBB,MSB,MSN,MWG,NVL,OCB,PDR,PLX,PNJ,POW,REE,SAB,SHP,SSB,SSI,STB,TCB,TPB,VCB,VCG,VCI,VGC,VHM,VIB,VIC,VJC,VNM,VPB,VRE,^VNINDEX
2016-02-29,0.848839250874366,0.0,0.0,1.563539956903818,1.5983029288932276,1.2418620087621843,1.199099078543453,0.607716982075788,0.8175754990736619,1.530491046568006,0.2630775209953755,0.0,1.3144658132396865,0.0,1.0957441151368899,0.9926341951658455,0.0,1.1621089285855801,0.7582862911128623,0.7741351875884135,0.0,0.7995927365010783,0.0,0.6617474411001072,0.8032934796589188,0.0,0.0,0.41903570421334724,0.0,0.39912055184004713,0.0,0.8387424806735763,0.0,0.26467832534393154,0.0,1.1198544594132311,1.0447380747759472,0.0,0.0,1.391886680789435,1.3096989561594592,0.0,-0.0036007201747718697,0.0,0.0,0.5968811488639829,0.0,0.7563433639178454,0.0,0.0,0.9999999999999998
2016-03-31,0.830396144483478,0.0,0.0,1.5979313293879054,1.6137976113518822,1.2658499213577241,1.2042374477201805,0.587496755451563,0.8018165732328963,1.5396219761645555,0.2803701993705139,0.0,1.3215395276231843,0.0,1.1022476146015185,1.0055803511866246,0.0,1.140144236774819,0.7612183429664388,0.7663505495576262,0.0,0.800379416598254,0.0,0.6825793739477047,0.8175292357476267,0.0,0.0,0.4207748459051202,0.0,0.451860390002466,0.0,0.8392107740726893,0.0,0.2701760733904806,0.0,1.1360139406159748,1.0565259034842929,0.0,0.0,1.4040739953930466,1.3139159141946581,0.0,0.08392459007057909,0.0,0.0,0.5875889660880502,0.0,0.7583480351188838,0.0,0.0,1.0000000000000002
2016-05-31,0.8427612615364839,0.0,0.0,1.6695973213640962,1.7366037925806426,1.320893593315513,1.1920201544411753,0.5361514398751556,0.7470528544532103,1.5448261082436483,0.30830705547546433,0.0,1.2983263951387056,0.0,1.078259626546135,1.0626606215674608,0.0,1.0097121429426466,0.731600772627481,0.7279429948635026,0.0,0.8052994638604165,0.0,0.6519197256317502,0.7812070015501331,0.0,0.0,0.3984758442842129,0.0,0.47349707591104434,0.0,0.8266238062474318,0.0,0.20286082452016485,0.0,1.0848687586233519,1.044976074464473,0.0,0.0,1.4540219288298841,1.267017133010183,0.0,0.13207035969108655,0.0,0.0,0.651221880397986,0.0,0.7844039362934557,0.0,0.0,1.0000000000000002
2016-06-30,0.8932028237450254,0.0,0.0,1.7847861855570906,1.8015929944874554,1.429580492839938,1.2106759071133777,0.45182202222454504,0.7341854348424087,1.4932810162305592,0.3844339382099045,0.0,1.250710089904299,0.0,1.0582828460349791,1.1154067762618332,0.0,0.9552104108585455,0.6943386628879414,0.6596620205147303,0.0,0.8358593909000902,0.0,0.6432286531727213,0.8666634641527261,0.0,0.0,0.3127562663672111,0.0,0.5060483154912129,0.0,0.8058707224980531,0.0,0.20604646965369733,0.0,1.0742936948376354,1.0231439784107765,0.0,0.0,1.5389872219063156,1.2497907293743131,0.0,0.22099583678144638,0.0,0.0,0.6515221766461387,0.0,0.8005643992650484,0.0,0.0,0.9999999999999998
2016-08-31,0.8037070951671972,0.0,0.0,1.5964819144362545,1.8094188389629424,1.3535231511421095,1.1676831190999462,0.35822667301091454,0.7446870708116885,1.4829950917294623,0.4604311843270046,0.0,1.2841903817617517,0.0,1.1162311754683487,1.228805444676299,0.0,0.9203285686720898,0.6902277458533985,0.6320171963939709,0.0,0.6987531337764988,0.0,0.6562184255453025,0.8658046238471427,0.0,0.0,0.3525743959793462,0.0,0.6491146783460985,0.0,0.7853696728673488,0.0,0.21409344346962442,0.0,1.090969946806449,0.9460323494716918,0.0,0.0,1.5079337027512927,1.3963635142871595,0.0,0.286181660089615,0.0,0.0,0.7509073113070228,0.0,0.8009292582136984,0.0,0.0,1.0000000000000002
2016-09-30,0.8262900488901469,0.0,0.0,1.6119289593606192,1.7899993828825116,1.353319299815489,1.1794557442394145,0.33490298721128664,0.7550378012538339,1.444680437099329,0.4981921015744718,0.0,1.2983563091130108,0.0,1.14177847133853,1.1875730244210234,0.0,0.9154516952134321,0.6785945513422451,0.6159011529348447,0.0,0.6986780965160901,0.0,0.6622359734741896,0.8799864747058844,0.0,0.0,0.3924085921683013,0.0,0.6744576580675359,0.0,0.7896040847983374,0.0,0.20110862725301568,0.0,1.0696838629733487,0.9911243667161179,0.0,0.0,1.5735675589950282,1.3392372293665815,0.0,0.3259321756649969,0.0,0.0,0.7287323089635902,0.0,0.8140837469839095,0.0,0.0,1.0000000000000004
2016-10-31,0.8802467223550057,0.0,-0.04210759142078898,1.5957091607295169,1.8257299009456205,1.3277786053829204,1.087187203630982,0.3029401033621286,0.7585172692922393,1.4504769004683262,0.5279386298837476,0.0,1.2346665070595233,0.0,1.1542147047556481,1.1965189216411474,0.0,0.8862985903443764,0.6479722930170372,0.4804482278134439,0.0,0.674131679813657,0.0,0.6512846337132268,0.8918805975276214,0.0,0.0,0.41738833670692693,0.0,0.7164533850395655,0.0,0.7706374265036361,0.0,0.17559448412163875,0.0,1.023119179819403,0.9626927922290285,0.0,0.0,1.616261786886684,1.3174199602901147,0.0,0.3402560974799488,0.0,0.0,0.741591656593434,0.0,0.85120666168396,0.0,0.0,0.9999999999999999
2016-11-30,0.8263919830702923,0.0,-0.03184894903573153,1.531347314679928,1.8688064085988059,1.2755283069735097,1.129286788350648,0.2785855433691965,0.770545996363575,1.4574421622371365,0.5563744671122524,0.0,1.224287150701387,0.0,1.2180531771999454,1.2274461508201169,0.0,0.8945263604853612,0.6580848045977903,0.4749054200003165,0.0,0.6369272817185876,0.0,0.668161489059865,0.903126207150056,0.0,0.0,0.4406280164971841,0.0,0.6829428090459647,0.0,0.7626166115104634,0.0,0.16875905570317498,0.0,1.0381596144119043,0.9467438362821123,0.0,0.0,1.5950078127697456,1.3255430843767784,0.0,0.38381425622281684,0.0,0.0,0.7565579907184707,0.0,0.8524114811870895,0.0,0.0,1.0000000000000004
2017-02-28,0.5737158445737276,0.0,0.3349798075975809,1.4794682117260975,1.8089332862062628,1.2109993016497889,1.140115323206848,0.37119305316380646,0.7959215699540987,1.384119660514477,0.800963698844101,0.0,1.3301045737720898,0.0,1.1666899376571034,1.285321262369957,0.08964405106328212,0.9678943485464349,0.5905308481598112,0.4134623947240123,0.0,0.4469310744458331,0.0,0.6227608969195891,1.0792347068813466,0.028771552461579065,0.0,0.4047115534654484,0.0,0.7257703086693278,0.0,0.6635438991463816,0.17072119878439507,0.1459291261722642,0.0,1.01919055654819,0.9923291244559802,0.0,0.0,1.5428856523158454,1.3563468664185139,0.0,0.7654133555478123,0.0,0.012506307801658319,0.9047825768904243,0.0,0.8980262107783926,0.0,0.0,0.9999999999999999
2017-03-31,0.560937032254073,0.0,0.3248071972152211,1.4620164550686359,1.7186217423050838,1.2060576465650805,1.1486819201513843,0.3853661988138616,0.794233100547881,1.4331640642475398,0.8195078897325044,0.0,1.3092377514594018,0.0,1.1323071563846918,1.3015638462695622,0.08376444766930013,0.8915323903661664,0.6375705867894164,0.3717375473060009,0.0,0.446340900429121,0.0,0.6604916625160158,1.0285386809863462,0.05835447572207222,0.0,0.4570988894490132,0.0,0.7610462426284544,0.0,0.6486363694914271,0.2073831021131078,0.11379689825398562,0.0,0.985850482706268,1.0098931176483252,0.0,0.0,1.516970583180794,1.3084943598910352,0.0,0.779367380351202,0.0,0.004050043976180008,0.9132410725611628,0.024667382651634037,0.9266993186316007,0.0,0.0,0.9999999999999997
2017-05-31,0.5975369827040798,0.0,0.3936331372308688,1.5062477057076031,1.6389990774543743,1.269198013809227,1.1375185077581156,0.4135387423572277,0.7092078041371811,1.5531433505140348,0.6873078183748751,0.0,1.385993547402863,0.0,1.1810624742929994,1.4338367602528312,0.08826711749659558,0.8662544660254179,0.7824564042345952,0.33515878275840905,0.0,0.49357549819076246,0.0,0.749978987485523,0.9469054886291323,0.08115818179235748,0.0,0.5117712606405769,0.08260028980706684,0.8317621228236451,0.0,0.7183727391639914,0.2158924277192904,0.12927739875330435,0.0,1.0535766769790542,1.0249336475008726,0.0,0.0,1.5029749493508446,1.3326021094520104,0.0,0.8410293823028921,0.0,-0.0045672980063873915,0.903049433625593,0.04397731119239153,0.8310346183678344,0.0,0.0,1.0000000000000004
2017-06-30,0.6096387212833262,0.0,0.4089607407391009,1.5232420214078037,1.5867596272819369,1.279552191329666,1.1029725354412787,0.40667638319829547,0.700522030677901,1.6023551650234475,0.6118272946765219,0.0,1.3038139746406467,0.0,1.2025111374706243,1.506257203130387,0.07875562664377957,0.7910087812368582,0.8383815456513878,0.2953864786213374,0.0,0.5060437980262252,0.0,0.8311502877939206,0.9319604944900034,0.09565470534259564,0.0,0.5518897299075846,0.1173093551259838,0.7964050124889506,0.0,0.7385326597605402,0.2364202525302994,0.06900162969566655,0.0,1.0440210975694022,1.0261350284545163,0.0,0.0,1.4828779728551076,1.334547473239682,0.0,0.7162531341796634,0.0,-0.01256296812149326,0.9104228389779111,0.05129441774336918,0.8227762619315454,0.0,0.0,0.9999999999999997
2017-07-31,0.6716176413637128,0.0,0.5096949637035207,1.4387689577264178,1.525505242125404,1.3093369682792841,1.1159697485009303,0.45109469379152367,0.6556326508706015,1.577631978374437,0.5533151747008965,0.0,1.3004610462524167,0.0,1.1472109764417566,1.4051558817176886,0.09118476297554887,0.6355100685601646,0.6658346655190511,0.2546894710982303,0.0,0.539486137685715,0.0,0.8070543926773315,0.8138391029575561,0.11204336701141102,0.0,0.5691305520124161,0.21740804113697157,0.9533488257778694,0.0,0.732019755706612,0.24887101503210193,0.054624022673237516,0.0,1.0331379901647404,0.899576595633108,0.0,0.0,1.467817334126303,1.2852197755543773,-0.03119094286124306,1.0407140383286158,0.0,0.04518443305728589,1.1352387717480505,0.07636992496025505,0.8381303910157458,0.0,0.0,0.9999999999999999
2017-08-31,0.6945178009886912,0.0,0.5697119242933925,1.4693160735300075,1.4552328708315736,1.3292768110586595,1.1757105417166789,0.48590206459992347,0.6730408121383901,1.534175754659869,0.5381975718310353,0.0,1.313757583038751,0.0,1.1910610480788852,1.4303602998129463,0.11976399272568373,0.6338347442620189,0.6399567621306308,0.21719063680943462,0.0,0.6278374624178779,0.0,0.7890469525067958,0.7940211075916561,0.12366733069386338,0.0,0.5553634803835813,0.2801338663255322,0.9713383416963757,0.0,0.7765842638853474,0.34892877886868395,0.11858427861335034,0.0,1.0399938365027774,0.8969421664876973,0.0,0.0,1.4498119406919823,1.3846535651584542,-0.02095670496496988,0.9750794126386748,0.0,0.08504708044054936,1.1964092597067553,0.09866534410473923,0.8112544486848626,-0.00047700604858896963,0.0,1.0000000000000002
2017-10-31,0.8599011987997108,0.0,0.67436657303071,1.4350128315509534,1.2223033785657464,1.3271668103809326,1.3192043322994926,0.58261572591703,0.7438626326761005,1.4608709724378623,0.5517725473488181,0.0,1.4406951680212814,0.0,1.2327988077590324,1.2886825626253304,0.20989280823607204,0.7293299526567264,0.6246729819517419,0.16836123835175107,0.05518381969998341,0.6979455521436306,0.0,0.8509258475749827,0.9050057637876923,0.14781452288729457,0.0,0.5379944827186862,0.37867536648839706,0.9468150009235379,0.0,0.8064942447185254,0.46777168181574724,0.15081342662593,0.0,1.149722803058673,0.9570010637568005,0.0,0.0,1.5108002148773232,1.5638078214088933,0.01604722121843721,0.9908778480659723,0.0,0.1272784074688537,1.116643869252841,0.19985753803036385,0.7960073535892582,0.05660525495670896,0.0,0.9999999999999999
2017-11-30,0.9021412461106411,0.0,0.7777517678783802,1.4641822238685003,1.2494673282389,1.3944295222200336,1.2658793315039545,0.6731632075755648,0.7607204936405527,1.4174737084598765,0.5421351908319805,0.0,1.4538356851777734,0.0,1.119385131210705,1.1815093326444632,0.4261469047650751,0.6795401237653743,0.5534246267962405,0.1338377010528805,0.08847677638290868,0.69970618711797,0.0,0.956248098578584,0.8814377020449502,0.13436722308999757,0.0,0.5243059470593033,0.4998391593774296,0.9943804861143719,0.0,0.8809682265345462,0.5767089478004152,0.09906778171957979,0.0,1.0874808017536344,1.0119936872449597,0.0,0.0,1.5585601791681682,1.5630541871921584,0.038113698659396886,0.9093942436138462,0.0,0.24316836105735495,1.0421665211979638,0.2887727961653431,0.8302065618177528,0.14491280853570584,0.19776640966710743,0.9999999999999998
2018-01-31,0.9798526623708324,0.0,1.1448533671474097,1.5486396907357283,1.3529657646331694,1.5206678609690711,1.405060345362057,0.6564449451060551,0.8539376650786767,1.4810760000469427,0.5357254913195689,0.0,1.4545283036694885,0.19963542587967642,1.1277285846690597,1.0234340784744282,1.0024089125190778,0.9297532718910279,0.45600387255374797,0.22750625061068716,0.1981933655548951,0.953985818274113,0.0,1.1105046596086956,0.7509287419511416,0.34330749749637757,0.0,0.40566301079135186,0.8899061677135978,0.7596964066111623,0.0,0.8925810579267732,0.8096872190314283,0.06065818823290394,0.0,1.2803078351343877,1.285334554599263,0.0,0.0,1.6235593339654462,1.0542225484256154,0.24102806639914043,0.9305393749248376,0.0,0.14465478953332206,0.8773117936188777,0.5791296350234421,0.915947088442588,0.5013882238106646,0.2720043534056773,0.9999999999999998
2018-02-28,0.9843590455200208,-0.07148663017770533,1.1395280468161193,1.539025634762497,1.381368566533162,1.5513018637106342,1.352511077510445,0.6556428536298979,0.967682768116642,1.6051620706544658,0.5607002769423659,0.0,1.206703494259491,0.4795224690695832,1.0165935584845625,1.0470196267833667,1.373531985343451,0.8368031593051068,0.5547991779191611,0.4021805873990737,0.56002002322618,1.07797741658892,0.0,0.9406092418332023,0.7284198651804585,0.23235499064366602,0.0,0.6279654343267258,1.190414858568221,0.8040574049374687,0.0,0.9756244035117012,0.7853407888676911,0.06278995993078958,0.0,1.311235821435911,1.1806121272049679,0.0,0.0,1.4191239132372173,1.1314038101280575,0.46456492330537563,0.8375783558600017,0.0,0.41184636087549864,0.9513125043864858,0.7850935029544999,0.7895546191219094,0.7357785048881498,0.6423860883720752,0.9999999999999998
2018-05-31,1.2534723910820607,-0.01910088321522679,1.0066614351420498,1.7564158126645588,1.32230066070434,1.775427783418922,1.5025853667468019,0.6068866274257987,0.8965014314964861,1.5324380993659696,0.7785565250014539,0.20190304022689376,1.3738382352482907,0.7526868302466979,1.0251036094973398,1.1217135956198439,1.4841535555989638,0.7442691302937007,0.4465740474143937,0.5302139581818831,0.9142104815472779,1.3580607509223361,0.0,1.0585998129096592,0.737019203884449,0.3904626090550691,0.0,0.6000113768784048,1.461297834310738,0.9112304929122762,0.35771305746106913,0.9448276204631321,0.7791545411418638,0.06392727258474938,0.0,1.4722768018926604,1.2038750195030783,0.0,0.21238756448819607,1.5002760285758348,1.1337890621125206,0.7349538224430604,0.8360389201916272,-0.08784383177611313,0.7319303066682155,0.9483706509977472,0.9067157757150809,0.6101265178692965,1.184692068443021,0.9162774052528034,0.9999999999999996
2018-07-31,1.3281254036840764,0.04415221277161434,0.7765497108669014,1.8029270324154643,1.323004317181332,1.7653569538708225,1.6141860341111698,0.5361628125090159,0.9273771876494235,1.596879914247631,0.8104150941416545,0.3100731501460932,1.5064789674852124,0.9365973828244367,1.1408273304720207,1.2638294228261233,1.5008834631699663,0.7089442842438614,0.3881355981241976,0.5377649894704108,0.9882535058274692,1.446201881768483,0.0,1.0000865859210493,0.9008789581867598,0.4477573329326359,0.0,0.6715964242901721,1.483952853491318,1.0669140994123008,0.4670120000196497,0.963202511742888,0.6737356918607474,0.12698563165713084,0.0,1.5489447599495438,1.3145757693523696,0.20736873049110932,0.2935859839869602,1.4881333838383601,1.1131291270599486,0.8660695076065117,0.7367622538835648,0.06467539720449449,0.8712429168735809,0.877801689512245,1.0515152894144824,0.588887005597651,1.3590915297020294,1.0113001370853474,0.9999999999999996
