|createdDate|displayLevel|displayOrder|exchangeCode|fiscalDate|id|itemCode|itemName|locale|modelType|modifiedDate|numericValue|reportType|rowNo|secCode
49|2011-02-21T00:00:00|2|1100|HOSTC|2010-12-31T00:00:00|VIC12440ANNUAL31-DEC-10VN1|12440|Tài sản dở dang dài hạn|VN|1|2018-11-21T14:19:00|0|ANNUAL|8|VIC
50|2011-02-21T00:00:00|3|1110|HOSTC|2010-12-31T00:00:00|VIC12450ANNUAL31-DEC-10VN1|12450|Chi phí sản xuất, kinh doanh dở dang dài hạn|VN|1|2018-11-21T14:19:00|0|ANNUAL|8|VIC
51|2011-02-21T00:00:00|3|1120|HOSTC|2010-12-31T00:00:00|VIC12460ANNUAL31-DEC-10VN1|12460|Chi phí xây dựng cơ bản dở dang |VN|1|2018-11-21T14:19:00|0|ANNUAL|8|VIC
52|2011-02-21T00:00:00|2|1160|HOSTC|2010-12-31T00:00:00|VIC12500ANNUAL31-DEC-10VN1|12500|Các khoản đầu tư tài chính dài hạn|VN|1|2018-11-21T14:19:00|3741758211783|ANNUAL|8|VIC
53|2011-02-21T00:00:00|3|1170|HOSTC|2010-12-31T00:00:00|VIC12510ANNUAL31-DEC-10VN1|12510|Đầu tư vào công ty con|VN|1|2018-11-21T14:19:00|0|ANNUAL|8|VIC
54|2011-02-21T00:00:00|3|1180|HOSTC|2010-12-31T00:00:00|VIC12520ANNUAL31-DEC-10VN1|12520|Đầu tư vào công ty liên kết, liên doanh|VN|1|2018-11-21T14:19:00|3295920940246|ANNUAL|8|VIC
55|2011-02-21T00:00:00|3|1190|HOSTC|2010-12-31T00:00:00|VIC12580ANNUAL31-DEC-10VN1|12580|Đầu tư dài hạn khác|VN|1|2018-11-21T14:19:00|447199798748|ANNUAL|8|VIC
56|2011-02-21T00:00:00|3|1250|HOSTC|2010-12-31T00:00:00|VIC12590ANNUAL31-DEC-10VN1|12590|Dự phòng giảm giá đầu tư tài chính dài hạn|VN|1|2018-11-21T14:19:00|-1362527211|ANNUAL|8|VIC
57|2011-02-21T00:00:00|3|1255|HOSTC|2010-12-31T00:00:00|VIC12595ANNUAL31-DEC-10VN1|12595|Đầu tư dài hạn giữ đến ngày đáo hạn|VN|1|2018-11-21T14:19:00|0|ANNUAL|8|VIC
58|2011-02-21T00:00:00|2|1260|HOSTC|2010-12-31T00:00:00|VIC12600ANNUAL31-DEC-10VN1|12600|Tài sản dài hạn khác|VN|1|2018-11-21T14:19:00|361322428998|ANNUAL|8|VIC
59|2011-02-21T00:00:00|3|1270|HOSTC|2010-12-31T00:00:00|VIC12610ANNUAL31-DEC-10VN1|12610|Chi phí trả trước dài hạn|VN|1|2018-11-21T14:19:00|345089220601|ANNUAL|8|VIC
60|2011-02-21T00:00:00|3|1330|HOSTC|2010-12-31T00:00:00|VIC12620ANNUAL31-DEC-10VN1|12620|Tài sản thuế thu nhập hoãn lại|VN|1|2018-11-21T14:19:00|14586915040|ANNUAL|8|VIC
61|2011-02-21T00:00:00|3|1335|HOSTC|2010-12-31T00:00:00|VIC12630ANNUAL31-DEC-10VN1|12630|Thiết bị, vật tư, phụ tùng thay thế dài hạn|VN|1|2018-11-21T14:19:00|0|ANNUAL|8|VIC
62|2011-02-21T00:00:00|3|1340|HOSTC|2010-12-31T00:00:00|VIC12680ANNUAL31-DEC-10VN1|12680|Tài sản dài hạn khác|VN|1|2018-11-21T14:19:00|1646293357|ANNUAL|8|VIC
63|2011-02-21T00:00:00|3|1342|HOSTC|2010-12-31T00:00:00|VIC12690ANNUAL31-DEC-10VN1|12690|Lợi thế thương mại|VN|1|2018-11-21T14:19:00|0|ANNUAL|8|VIC
64|2011-02-21T00:00:00|2|1345|HOSTC|2010-12-31T00:00:00|VIC412541ANNUAL31-DEC-10VN1|412541|Lợi thế thương mại (trước 2015)|VN|1|2018-11-21T14:19:00|242876414681|ANNUAL|8|VIC
65|2011-02-21T00:00:00|0|1350|HOSTC|2010-12-31T00:00:00|VIC12700ANNUAL31-DEC-10VN1|12700|TỔNG CỘNG TÀI SẢN|VN|1|2018-11-21T14:19:00|26146849247419|ANNUAL|8|VIC
66|2011-02-21T00:00:00|1|1360|HOSTC|2010-12-31T00:00:00|VIC13000ANNUAL31-DEC-10VN1|13000|Nợ phải trả|VN|1|2018-11-21T14:19:00|16593209101230|ANNUAL|8|VIC
67|2011-02-21T00:00:00|2|1370|HOSTC|2010-12-31T00:00:00|VIC13100ANNUAL31-DEC-10VN1|13100|Nợ ngắn hạn|VN|1|2018-11-21T14:19:00|5252364658153|ANNUAL|8|VIC
68|2011-02-21T00:00:00|3|1380|HOSTC|2010-12-31T00:00:00|VIC13110ANNUAL31-DEC-10VN1|13110|Vay và nợ ngắn hạn|VN|1|2018-11-21T14:19:00|294320590034|ANNUAL|8|VIC
69|2011-02-21T00:00:00|3|1410|HOSTC|2010-12-31T00:00:00|VIC13120ANNUAL31-DEC-10VN1|13120|Phải trả người bán|VN|1|2018-11-21T14:19:00|112761461723|ANNUAL|8|VIC
70|2011-02-21T00:00:00|3|1420|HOSTC|2010-12-31T00:00:00|VIC13130ANNUAL31-DEC-10VN1|13130|Người mua trả tiền trước|VN|1|2018-11-21T14:19:00|931723029733|ANNUAL|8|VIC
71|2011-02-21T00:00:00|3|1430|HOSTC|2010-12-31T00:00:00|VIC13140ANNUAL31-DEC-10VN1|13140|Thuế và các khoản phải nộp Nhà nước|VN|1|2018-11-21T14:19:00|1006650631435|ANNUAL|8|VIC
72|2011-02-21T00:00:00|3|1520|HOSTC|2010-12-31T00:00:00|VIC13150ANNUAL31-DEC-10VN1|13150|Phải trả người lao động|VN|1|2018-11-21T14:19:00|12547094121|ANNUAL|8|VIC
73|2011-02-21T00:00:00|3|1530|HOSTC|2010-12-31T00:00:00|VIC13160ANNUAL31-DEC-10VN1|13160|Chi phí phải trả|VN|1|2018-11-21T14:19:00|537337366204|ANNUAL|8|VIC
74|2011-02-21T00:00:00|3|1580|HOSTC|2010-12-31T00:00:00|VIC13170ANNUAL31-DEC-10VN1|13170|Phải trả nội bộ|VN|1|2018-11-21T14:19:00|0|ANNUAL|8|VIC
75|2011-02-21T00:00:00|3|1590|HOSTC|2010-12-31T00:00:00|VIC13180ANNUAL31-DEC-10VN1|13180|Phải trả theo tiến độ kế hoạch hợp đồng xây dựng|VN|1|2018-11-21T14:19:00|0|ANNUAL|8|VIC
