tradingdate,open,high,low,close,volume,adj_close,SMA_20,SMA_50,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,MACD_8_21_9,MACDh_8_21_9,MACDs_8_21_9,VOLUME_SMA_20,CDL_DOJI_10_0.1,CDL_SHOOTINGSTAR,CDL_HAMMER,CDL_HANGINGMAN,CDL_EVENINGSTAR,CDL_MORNINGSTAR,CDL_INVERTEDHAMMER,VOLUME_VS_MA20,symbol,X2 VOLUME SMA20,X1.5_VOLUME SMA20,X0.5_VOLUME SMA20,MA20 > MA50,PRICE > BBU20,PRICE < BBL20,RSI > 70,RSI < 30,MA20 X MA50,MACD X 0
2021-05-17,20.893,20.937,20.178,20.357,21240000,20.357,18.69400000000001,16.454280000000008,16.29436611125799,18.69400000000001,21.09363388874203,25.672770822103548,0.8465111923535548,71.00980679367194,1.1747656713422963,0.07862454920209738,1.0961411221401989,17620030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2054463017372843,LPB,False,False,False,True,False,False,True,False,0,False
2021-05-18,20.089,20.848,19.955,20.536,20104900,20.536,18.892700000000012,16.588220000000007,16.575411921232337,18.892700000000012,21.209988078767687,24.53104192378721,0.854573955447501,72.00939825810322,1.1535020710649455,0.0458887591397974,1.1076133119251481,17954065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1197965474671057,LPB,False,False,False,True,False,False,True,False,0,False
2021-05-19,20.536,21.161,20.536,21.027,14538700,21.027,19.098050000000008,16.727520000000005,16.788528882971715,19.098050000000008,21.4075711170283,24.185936438833203,0.9176082188159448,74.59684939346369,1.179638877513991,0.05762045247107439,1.1220184250429166,17597175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8261951137043304,LPB,False,False,False,True,False,False,True,False,0,False
2021-05-20,21.071,21.116,20.803,20.982,13817500,20.982,19.28110000000001,16.866800000000005,16.98368171853723,19.28110000000001,21.578518281462788,23.83078020924924,0.8701763874963635,73.92239643459439,1.1683792683867722,0.037088674675084476,1.1312905937116877,17606010.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.7848172300254288,LPB,False,False,False,True,False,False,True,False,0,False
2021-05-21,21.027,21.339,20.848,20.982,14550800,20.982,19.44405000000001,17.006080000000004,17.149491874783095,19.44405000000001,21.738608125216928,23.601648064234713,0.835129884725539,73.92239643459439,1.1368143070162766,0.004418970643671027,1.1323953363726056,17220140.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8449873229834368,LPB,False,False,False,True,False,False,True,False,0,False
2021-05-24,20.982,21.205,20.848,20.893,13869000,20.893,19.649400000000007,17.139120000000005,17.623772255324376,19.649400000000007,21.67502774467564,20.617705829955426,0.8069665695656075,72.42050145302021,1.0798428331782226,-0.042042002555506386,1.121884835733729,17230380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8049155038948648,LPB,False,False,False,True,False,False,True,False,0,False
2021-05-25,20.982,21.607,20.803,21.339,17869400,21.339,19.819050000000008,17.279300000000003,17.824387474659037,19.819050000000008,21.81371252534098,20.128740028820452,0.8810043003991787,75.14567993337005,1.0763106227234722,-0.03645937040820546,1.1127699931316777,17066875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0470223752151464,LPB,False,False,False,True,False,False,True,False,0,False
2021-05-26,21.384,22.678,21.384,22.678,27082700,22.678,20.028850000000006,17.438220000000005,17.77501040721619,20.028850000000006,22.28268959278382,22.50593112219439,1.0876971033080296,81.16349998683687,1.2278977340640864,0.0921021927459269,1.1357955413181595,17630915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5360915755081344,LPB,False,True,False,True,True,False,True,False,0,False
2021-05-27,23.125,23.928,22.678,23.393,31002700,23.393,20.281100000000002,17.614120000000003,17.72694214270131,20.281100000000002,22.835257857298693,25.187567314383248,1.109183177756128,83.46565449189622,1.4041634141218111,0.2146942982429212,1.18946911587889,18614700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6654955492164794,LPB,False,True,False,True,True,False,True,False,0,False
2021-05-28,23.928,25.0,23.527,25.0,35668800,25.0,20.618150000000004,17.825720000000004,17.50284306327603,20.618150000000004,23.73345693672398,30.219073357444532,1.2032774119855916,87.24025350075851,1.711448977513701,0.41758388930784873,1.2938650882058522,19810320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8005160946415808,LPB,False,True,False,True,True,False,True,False,0,False
